2024-01-21 21:14:10,106 INFO    MainThread:74431 [wandb_setup.py:_flush():76] Current SDK version is 0.16.2
2024-01-21 21:14:10,107 INFO    MainThread:74431 [wandb_setup.py:_flush():76] Configure stats pid to 74431
2024-01-21 21:14:10,107 INFO    MainThread:74431 [wandb_setup.py:_flush():76] Loading settings from /Users/suhuangyuan/.config/wandb/settings
2024-01-21 21:14:10,107 INFO    MainThread:74431 [wandb_setup.py:_flush():76] Loading settings from /Users/suhuangyuan/DRA/wandb/settings
2024-01-21 21:14:10,107 INFO    MainThread:74431 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-01-21 21:14:10,107 INFO    MainThread:74431 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-01-21 21:14:10,107 INFO    MainThread:74431 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': '/Users/suhuangyuan/DRA/main.py', 'program': '/Users/suhuangyuan/DRA/main.py'}
2024-01-21 21:14:10,107 INFO    MainThread:74431 [wandb_init.py:_log_setup():526] Logging user logs to /Users/suhuangyuan/DRA/wandb/run-20240121_211410-96dr0s5s/logs/debug.log
2024-01-21 21:14:10,107 INFO    MainThread:74431 [wandb_init.py:_log_setup():527] Logging internal logs to /Users/suhuangyuan/DRA/wandb/run-20240121_211410-96dr0s5s/logs/debug-internal.log
2024-01-21 21:14:10,107 INFO    MainThread:74431 [wandb_init.py:init():566] calling init triggers
2024-01-21 21:14:10,107 INFO    MainThread:74431 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-01-21 21:14:10,107 INFO    MainThread:74431 [wandb_init.py:init():616] starting backend
2024-01-21 21:14:10,107 INFO    MainThread:74431 [wandb_init.py:init():620] setting up manager
2024-01-21 21:14:10,107 INFO    MainThread:74431 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-01-21 21:14:10,109 INFO    MainThread:74431 [wandb_init.py:init():628] backend started and connected
2024-01-21 21:14:10,112 INFO    MainThread:74431 [wandb_init.py:init():720] updated telemetry
2024-01-21 21:14:10,141 INFO    MainThread:74431 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-01-21 21:14:15,737 INFO    MainThread:74431 [wandb_run.py:_on_init():2254] communicating current version
2024-01-21 21:14:19,607 INFO    MainThread:74431 [wandb_run.py:_on_init():2263] got version response 
2024-01-21 21:14:19,607 INFO    MainThread:74431 [wandb_init.py:init():804] starting run threads in backend
2024-01-21 21:14:20,968 INFO    MainThread:74431 [wandb_run.py:_console_start():2233] atexit reg
2024-01-21 21:14:20,969 INFO    MainThread:74431 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-01-21 21:14:20,969 INFO    MainThread:74431 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-01-21 21:14:20,969 INFO    MainThread:74431 [wandb_run.py:_redirect():2178] Redirects installed.
2024-01-21 21:14:20,970 INFO    MainThread:74431 [wandb_init.py:init():847] run started, returning control to user process
